,count,dep,deprel,head,lang,left_dist,right_dist
45,1,ADV,xcomp,NOUN,basque,0,4
46,1814,ADV,advmod,VERB,basque,3460,873
47,1,SCONJ,name,PROPN,basque,1,0
48,1075,DET,det,NOUN,basque,223,949
49,1,ADJ,nmod,ADJ,basque,1,0
50,279,VERB,ccomp,VERB,basque,421,723
51,2,SCONJ,csubj,X,basque,2,0
52,1,SCONJ,ccomp,ADV,basque,1,0
53,4,PRON,nsubj,ADJ,basque,4,5
54,26,ADJ,conj,NOUN,basque,0,78
55,39,CONJ,mark,SCONJ,basque,0,43
56,7,ADV,advmod,NOUN,basque,9,1
57,6,X,advmod,SCONJ,basque,12,9
58,1,PROPN,name,PART,basque,1,0
59,112,DET,nmod,VERB,basque,233,22
60,7,ADJ,nsubj,NOUN,basque,24,4
61,1,X,mark,VERB,basque,4,0
62,1,NOUN,csubj,ADJ,basque,0,2
63,74,PROPN,nmod,ADJ,basque,90,0
64,1,ADJ,acl,ADJ,basque,6,0
65,12,SCONJ,ccomp,SCONJ,basque,13,3
66,1,NUM,advcl,VERB,basque,8,0
67,5,NUM,conj,VERB,basque,0,47
68,1,VERB,cop,CONJ,basque,0,3
69,1,ADV,aux,ADJ,basque,1,0
70,1,PART,det,NOUN,basque,0,1
71,6,NOUN,csubj,VERB,basque,0,47
72,2,NUM,nmod,PROPN,basque,1,1
73,2,DET,nsubj,CONJ,basque,0,2
74,36,VERB,nsubj,VERB,basque,119,12
75,1,PRON,det,ADV,basque,1,0
76,84,NOUN,name,NOUN,basque,105,0
77,36,ADV,advmod,ADV,basque,36,0
78,6,NOUN,nmod,DET,basque,5,1
79,5,NUM,conj,NOUN,basque,0,18
80,9,NUM,nsubj,NOUN,basque,24,2
81,9,PUNCT,punct,CONJ,basque,20,22
82,3,PROPN,nsubj,PUNCT,basque,0,7
83,1,ADV,dobj,SCONJ,basque,0,1
84,2,X,discourse,SCONJ,basque,2,2
85,12,SCONJ,xcomp,NOUN,basque,26,2
86,48,ADJ,dobj,VERB,basque,68,18
87,4,DET,conj,NOUN,basque,0,25
88,1,VERB,parataxis,SCONJ,basque,0,4
89,40,PROPN,name,NOUN,basque,46,0
90,20,PROPN,vocative,VERB,basque,31,39
91,4,ADV,nsubj,NOUN,basque,7,3
92,18,PART,discourse,VERB,basque,46,9
93,1,DET,advmod,ADJ,basque,1,0
94,269,NOUN,nsubj,SCONJ,basque,739,89
95,1,PROPN,name,PUNCT,basque,1,0
96,2,NOUN,iobj,CONJ,basque,0,8
97,1,ADV,conj,NOUN,basque,0,5
98,2,PROPN,nsubj,PROPN,basque,2,0
99,213,PUNCT,punct,PROPN,basque,47,801
100,3,DET,ccomp,SCONJ,basque,7,0
101,5,SCONJ,conj,NOUN,basque,0,20
102,2,NOUN,xcomp,NUM,basque,0,8
103,23,NUM,appos,NOUN,basque,0,74
104,16,NOUN,nsubj,ADV,basque,43,4
105,68,NOUN,iobj,SCONJ,basque,160,1
106,291,NOUN,iobj,VERB,basque,487,348
107,1,PRON,conj,VERB,basque,0,9
108,3,NUM,nummod,DET,basque,2,1
109,1,NOUN,advcl,ADV,basque,0,5
110,134,ADV,advmod,ADJ,basque,160,9
111,5,NOUN,mark,SCONJ,basque,0,5
112,60,SCONJ,csubj,ADJ,basque,54,178
113,6,SCONJ,csubj,SCONJ,basque,1,20
114,4371,VERB,root,ROOT,basque,0,24762
115,1,PUNCT,name,PROPN,basque,1,0
116,7,VERB,aux,NOUN,basque,0,7
117,3,PART,neg,ADJ,basque,5,0
118,2,SCONJ,conj,ADJ,basque,0,5
119,26,PROPN,appos,PROPN,basque,0,70
120,1,PROPN,ccomp,VERB,basque,3,0
121,2,VERB,advcl,X,basque,0,8
122,7,NOUN,dobj,AUX,basque,12,1
123,107,NOUN,nmod,NUM,basque,114,4
124,1,PRON,det,DET,basque,1,0
125,1,CONJ,advmod,PRON,basque,0,1
126,2,SCONJ,nsubj,NOUN,basque,3,5
127,118,SCONJ,root,ROOT,basque,0,708
128,24,CONJ,cc,NUM,basque,0,46
129,8,PRON,dobj,SCONJ,basque,11,2
130,6,SCONJ,aux,NOUN,basque,0,7
131,4,CONJ,advmod,ADJ,basque,0,23
132,1,ADJ,dobj,X,basque,1,0
133,1,ADV,det,ADV,basque,0,1
134,1,VERB,csubj,CONJ,basque,1,0
135,133,PRON,nsubj,VERB,basque,265,25
136,2,VERB,conj,ADV,basque,0,6
137,25,NUM,root,ROOT,basque,0,151
138,2,NUM,nmod,PUNCT,basque,0,2
139,29,VERB,dobj,VERB,basque,49,24
140,1,DET,aux,DET,basque,0,1
141,163,NOUN,advcl,VERB,basque,249,282
142,13,DET,det,NUM,basque,12,2
143,4,PART,cc,NUM,basque,2,3
144,1,VERB,name,PROPN,basque,1,0
145,7,ADJ,dobj,SCONJ,basque,6,6
146,13,PROPN,name,X,basque,18,0
147,7,ADJ,xcomp,SCONJ,basque,13,0
148,1,CONJ,advmod,DET,basque,0,1
149,1,ADJ,conj,DET,basque,0,2
150,1,VERB,cop,AUX,basque,0,1
151,118,SCONJ,cop,NOUN,basque,50,176
152,121,ADJ,nsubj,VERB,basque,321,62
153,454,CONJ,cc,NOUN,basque,16,935
154,1,NOUN,iobj,ADV,basque,1,0
155,2,ADJ,csubj,NOUN,basque,0,10
156,1,SYM,conj,NUM,basque,0,3
157,1,NOUN,dobj,NUM,basque,1,0
158,5,DET,det,VERB,basque,5,1
159,1,SYM,appos,NOUN,basque,0,3
160,2,CONJ,advmod,AUX,basque,3,1
161,3,VERB,acl,NUM,basque,6,0
162,31,NOUN,conj,PROPN,basque,0,130
163,3,VERB,aux,ADJ,basque,1,2
164,1,VERB,advcl,DET,basque,1,0
165,2,PROPN,nsubj,ADV,basque,4,0
166,1,PROPN,nsubj,PRON,basque,3,0
167,3,DET,dobj,CONJ,basque,1,9
168,2,PROPN,conj,CONJ,basque,5,1
169,2911,NOUN,dobj,VERB,basque,4368,1456
170,2,PROPN,dobj,ADV,basque,4,0
171,2,VERB,nsubj,DET,basque,5,5
172,108,VERB,cop,SCONJ,basque,24,108
173,15,PROPN,nsubj,CONJ,basque,4,20
174,22,PROPN,nsubj,ADJ,basque,73,4
175,1,PROPN,nsubj,DET,basque,0,2
176,4,CONJ,discourse,VERB,basque,5,5
177,12,PART,cc,NOUN,basque,11,9
178,201,VERB,aux,VERB,basque,23,214
179,1126,VERB,conj,VERB,basque,0,8521
180,1,CONJ,advcl,NOUN,basque,0,1
181,20,PROPN,iobj,SCONJ,basque,43,3
182,1,ADV,nmod,ADJ,basque,1,0
183,64,NOUN,ccomp,VERB,basque,101,188
184,5,NUM,nummod,NUM,basque,2,3
185,46,PUNCT,punct,NUM,basque,7,148
186,2,PRON,nsubj,X,basque,2,0
187,12,ADV,mark,VERB,basque,0,22
188,7,ADV,ccomp,VERB,basque,6,44
189,3,AUX,cop,NOUN,basque,1,2
190,3,ADV,appos,NOUN,basque,0,5
191,2,PROPN,name,ADJ,basque,2,0
192,4,NOUN,nsubj,PROPN,basque,6,4
193,2,ADV,acl,NOUN,basque,3,1
194,4,PART,neg,AUX,basque,4,0
195,9,NUM,parataxis,VERB,basque,0,42
196,28,DET,nsubj,SCONJ,basque,51,1
197,3,NUM,dobj,SCONJ,basque,4,0
198,5,AUX,conj,VERB,basque,0,54
199,11,ADJ,acl,NOUN,basque,28,3
200,1,VERB,csubj,ADJ,basque,10,0
201,9,NOUN,conj,CONJ,basque,0,29
202,2,PRON,nsubj,NUM,basque,4,0
203,20,VERB,conj,SCONJ,basque,0,126
204,2,PROPN,advmod,VERB,basque,8,11
205,1,DET,det,CONJ,basque,0,1
206,19,PROPN,appos,NOUN,basque,0,53
207,3,NOUN,iobj,PUNCT,basque,6,4
208,431,NOUN,compound,VERB,basque,431,0
209,1,SCONJ,advcl,AUX,basque,0,6
210,1,ADV,det,ADJ,basque,1,0
211,3,DET,nmod,DET,basque,3,0
212,4,NOUN,nsubj,PUNCT,basque,3,7
213,170,NUM,nmod,VERB,basque,312,93
214,9,VERB,parataxis,VERB,basque,9,32
215,4,AUX,cop,VERB,basque,0,5
216,4,NUM,nummod,PROPN,basque,3,2
217,1,ADJ,nsubj,X,basque,1,0
218,2,SCONJ,aux,ADJ,basque,0,2
219,28,PROPN,nmod,PROPN,basque,46,0
220,4,ADV,advcl,SCONJ,basque,1,3
221,1,DET,nsubj,X,basque,1,0
222,6,ADJ,ccomp,SCONJ,basque,14,1
223,1,PRON,discourse,VERB,basque,0,2
224,1,SCONJ,csubj,ADV,basque,3,0
225,3,ADJ,nsubj,NUM,basque,5,2
226,1,DET,dobj,PUNCT,basque,0,1
227,9,ADV,conj,VERB,basque,0,50
228,6,ADJ,amod,DET,basque,6,0
229,1,DET,det,SCONJ,basque,2,0
230,20,ADJ,amod,ADJ,basque,5,15
231,3,ADJ,conj,ADV,basque,0,20
232,1,SCONJ,acl,NUM,basque,1,0
233,1,ADJ,mark,VERB,basque,0,1
234,543,VERB,cop,NOUN,basque,312,715
235,33,NOUN,nmod,ADJ,basque,48,5
236,4,NOUN,ccomp,SCONJ,basque,12,0
237,10,PRON,nmod,SCONJ,basque,8,5
238,6,CONJ,cc,AUX,basque,0,27
239,20,NUM,nmod,SCONJ,basque,21,5
240,1,NOUN,conj,PRON,basque,0,2
241,1,ADJ,advcl,CONJ,basque,0,1
242,1,ADV,nsubj,CONJ,basque,0,1
243,5,SCONJ,xcomp,ADJ,basque,2,10
244,65,CONJ,cc,ADJ,basque,3,87
245,4,ADJ,discourse,VERB,basque,8,7
246,19,DET,det,ADJ,basque,7,13
247,9,NOUN,conj,ADV,basque,0,33
248,3,DET,advcl,VERB,basque,29,0
249,3,PRON,ccomp,VERB,basque,0,12
250,4,VERB,advcl,PROPN,basque,7,0
251,6,ADV,dobj,VERB,basque,4,5
252,7,DET,det,PRON,basque,3,4
253,1,VERB,acl,PROPN,basque,3,0
254,22,ADJ,nmod,SCONJ,basque,27,2
255,35,SCONJ,cop,SCONJ,basque,12,44
256,6,PROPN,name,NUM,basque,6,0
257,2,SCONJ,advcl,ADJ,basque,4,1
258,5,PROPN,nmod,NUM,basque,6,0
259,1,ADJ,xcomp,NOUN,basque,0,1
260,1,ADJ,advmod,NOUN,basque,2,0
261,2,CONJ,aux,SCONJ,basque,2,0
262,26,SCONJ,cop,VERB,basque,9,28
263,182,NOUN,nsubj,ADJ,basque,394,66
264,1,NOUN,advcl,X,basque,1,0
265,365,PUNCT,punct,ADJ,basque,225,1610
266,3,ADJ,csubj,ADJ,basque,0,20
267,5,ADJ,nsubj,ADJ,basque,10,2
268,1013,NUM,nummod,NOUN,basque,549,592
269,4,DET,appos,PROPN,basque,0,4
270,147,DET,dobj,VERB,basque,173,21
271,1,NOUN,advcl,CONJ,basque,1,0
272,4,VERB,conj,ADJ,basque,0,13
273,1,NOUN,acl,NUM,basque,0,1
274,3,DET,nsubj,DET,basque,6,2
275,4,NOUN,iobj,NOUN,basque,9,0
276,3,CONJ,aux,VERB,basque,0,3
277,2,NUM,det,ADV,basque,2,0
278,3,ADV,advmod,NUM,basque,4,0
279,1,ADV,conj,SCONJ,basque,0,5
280,70,NOUN,appos,NOUN,basque,0,333
281,1,CONJ,appos,NOUN,basque,0,7
282,246,DET,nmod,NOUN,basque,267,1
283,48,NUM,dobj,VERB,basque,56,18
284,4,SCONJ,cop,PRON,basque,2,2
285,21,NOUN,nsubj,DET,basque,24,29
286,28,X,name,PROPN,basque,28,0
287,4,VERB,csubj,SCONJ,basque,13,3
288,1,PRON,nmod,NUM,basque,1,0
289,9,NOUN,conj,ADJ,basque,0,29
290,2,VERB,nsubj,ADJ,basque,6,4
291,269,VERB,acl,NOUN,basque,625,0
292,31,DET,det,DET,basque,18,13
293,206,ADV,advmod,SCONJ,basque,314,33
294,161,ADJ,nmod,VERB,basque,203,92
295,1,VERB,advcl,PRON,basque,1,0
296,16,NOUN,compound,ADJ,basque,16,0
297,23,CONJ,advmod,SCONJ,basque,31,16
298,1,SCONJ,aux,CONJ,basque,0,1
299,7,ADJ,iobj,VERB,basque,8,8
300,9,SCONJ,advcl,CONJ,basque,3,49
301,6,VERB,acl,ADJ,basque,10,5
302,2,NOUN,nmod,AUX,basque,12,3
303,156,SCONJ,acl,NOUN,basque,184,8
304,1,ADV,nmod,NUM,basque,1,0
305,13,VERB,conj,NOUN,basque,0,68
306,1,NUM,nsubj,PUNCT,basque,0,1
307,10,SCONJ,acl,DET,basque,9,2
308,4,CONJ,advcl,SCONJ,basque,0,4
309,4,NOUN,conj,NUM,basque,0,20
310,40,CONJ,advcl,VERB,basque,14,56
311,31,ADJ,amod,PROPN,basque,1,31
312,1,NUM,iobj,PUNCT,basque,1,0
313,2,PART,cc,VERB,basque,0,6
314,45,VERB,advcl,SCONJ,basque,125,47
315,19,PRON,iobj,VERB,basque,32,7
316,1,ADV,discourse,CONJ,basque,0,1
317,1,PROPN,advcl,VERB,basque,5,0
318,1,SCONJ,parataxis,VERB,basque,0,11
319,3,ADJ,appos,PROPN,basque,5,5
320,18,SCONJ,xcomp,SCONJ,basque,22,7
321,2,ADJ,advmod,VERB,basque,8,0
322,3,CONJ,cc,CONJ,basque,7,7
323,1,PRON,nsubj,AUX,basque,3,0
324,6,NOUN,parataxis,VERB,basque,0,28
325,1,PART,aux,VERB,basque,0,1
326,17,SCONJ,csubj,NOUN,basque,28,46
327,1,ADJ,advmod,ADJ,basque,1,0
328,2,PART,advmod,VERB,basque,15,0
329,9,CONJ,advmod,NOUN,basque,2,10
330,1,ADV,xcomp,AUX,basque,0,2
331,18,DET,iobj,VERB,basque,31,6
332,1,VERB,acl,PRON,basque,3,0
333,2,ADJ,amod,NUM,basque,2,0
334,529,VERB,advcl,NOUN,basque,662,0
335,1,ADJ,advcl,PUNCT,basque,7,0
336,4,DET,dobj,NOUN,basque,4,3
337,53,ADJ,xcomp,VERB,basque,64,2
338,41,CONJ,mark,VERB,basque,7,73
339,2247,NOUN,nmod,NOUN,basque,2909,94
340,1,ADJ,nsubj,AUX,basque,0,1
341,1,X,ccomp,CONJ,basque,0,1
342,72,PROPN,nsubj,NOUN,basque,235,25
343,19,ADV,conj,ADV,basque,0,40
344,35,PRON,nmod,VERB,basque,34,29
345,1,CONJ,root,ROOT,basque,0,9
346,26,PUNCT,punct,DET,basque,12,93
347,12,AUX,aux,NOUN,basque,7,9
348,6,NUM,name,NOUN,basque,7,0
349,7,AUX,root,ROOT,basque,0,29
350,6,NOUN,conj,SCONJ,basque,0,26
351,58,ADJ,conj,ADJ,basque,0,146
352,1,PRON,nsubj,PART,basque,1,0
353,6,PRON,nsubj,NOUN,basque,7,4
354,2,DET,conj,VERB,basque,0,14
355,4,NUM,acl,PROPN,basque,2,2
356,1,SCONJ,nsubj,SCONJ,basque,3,0
357,1,PRON,appos,NOUN,basque,0,1
358,5,NUM,conj,PROPN,basque,0,36
359,1,DET,discourse,VERB,basque,0,3
360,1,PROPN,dobj,NUM,basque,5,0
361,246,ADJ,root,ROOT,basque,0,1146
362,1,CONJ,cc,PRON,basque,0,3
363,8,PART,cc,PROPN,basque,5,5
364,704,PART,neg,VERB,basque,1673,42
365,17,NOUN,nsubj,CONJ,basque,15,28
366,2,DET,conj,PROPN,basque,0,14
367,31,DET,dobj,SCONJ,basque,34,1
368,19,NOUN,name,PROPN,basque,21,0
369,3,VERB,xcomp,AUX,basque,3,0
370,1,SCONJ,ccomp,CONJ,basque,0,2
371,2,NOUN,xcomp,X,basque,3,0
372,548,CONJ,advmod,VERB,basque,1985,348
373,1,DET,advmod,ADV,basque,1,0
374,2,PROPN,nmod,DET,basque,3,0
375,1,NOUN,cop,ADJ,basque,0,3
376,8,DET,det,ADV,basque,5,3
377,1,X,advcl,SCONJ,basque,2,0
378,340,NUM,det,NOUN,basque,328,65
379,6,PUNCT,punct,PUNCT,basque,7,50
380,5,PRON,nsubj,ADV,basque,4,1
381,81,CONJ,cc,SCONJ,basque,15,157
382,3,NOUN,dobj,PUNCT,basque,2,5
383,5,VERB,ccomp,CONJ,basque,0,20
384,2,PRON,nmod,DET,basque,2,0
385,5,VERB,dobj,SCONJ,basque,11,0
386,9,PROPN,root,ROOT,basque,0,29
387,75,VERB,xcomp,SCONJ,basque,153,2
388,7,CONJ,advmod,PROPN,basque,0,8
389,1,SCONJ,conj,CONJ,basque,0,2
390,2,PRON,nsubj,PROPN,basque,2,0
391,8,DET,nmod,NUM,basque,8,0
392,41,PUNCT,punct,ADV,basque,9,200
393,1,VERB,xcomp,ADJ,basque,2,0
394,2,NOUN,dobj,X,basque,3,0
395,6,VERB,csubj,NOUN,basque,5,20
396,133,ADV,advcl,VERB,basque,27,137
397,1,VERB,ccomp,DET,basque,0,5
398,28,CONJ,cc,ADV,basque,0,43
399,39,ADJ,det,NOUN,basque,1,41
400,3,NUM,acl,NOUN,basque,0,13
401,1,PUNCT,appos,NOUN,basque,0,5
402,4,SCONJ,dobj,VERB,basque,11,5
403,1,NOUN,advcl,AUX,basque,6,0
404,11,ADV,det,NOUN,basque,4,8
405,1,PROPN,xcomp,VERB,basque,1,0
406,329,NUM,nmod,NOUN,basque,372,2
407,31,ADJ,advcl,VERB,basque,115,91
408,7,ADV,mark,SCONJ,basque,0,7
409,6,NUM,iobj,VERB,basque,8,4
410,281,PROPN,conj,PROPN,basque,0,1040
411,37,VERB,cop,ADV,basque,6,33
412,300,VERB,xcomp,VERB,basque,473,113
413,3,PRON,advmod,ADJ,basque,3,0
414,1,ADJ,cop,ADJ,basque,0,4
415,1,NOUN,advcl,NUM,basque,2,0
416,2,PROPN,xcomp,SCONJ,basque,2,0
417,2,SCONJ,cop,PROPN,basque,0,2
418,1,CONJ,aux,NOUN,basque,0,1
419,69,DET,nsubj,NOUN,basque,165,55
420,14,NOUN,nsubj,X,basque,21,0
421,1,PRON,det,NOUN,basque,1,0
422,19,NOUN,acl,NOUN,basque,55,6
423,7,VERB,iobj,VERB,basque,9,17
424,1,CONJ,cc,X,basque,0,4
425,9,NUM,nsubj,SCONJ,basque,13,0
426,24,NUM,conj,NUM,basque,0,69
427,15,SCONJ,advcl,NOUN,basque,29,8
428,31,VERB,cop,NUM,basque,45,17
429,3,PART,dobj,VERB,basque,5,0
430,54,ADJ,conj,VERB,basque,0,374
431,2,NOUN,appos,NUM,basque,0,4
432,4,ADJ,conj,PROPN,basque,0,27
433,2,ADV,advmod,AUX,basque,1,2
434,2,NUM,nsubj,ADJ,basque,4,0
435,2,ADJ,nmod,PROPN,basque,1,1
436,2,ADJ,nmod,NUM,basque,2,0
437,2,CONJ,cc,PUNCT,basque,0,9
438,1,PUNCT,punct,PRON,basque,6,0
439,2,SCONJ,conj,NUM,basque,0,11
440,8,ADJ,compound,SCONJ,basque,8,0
441,1,CONJ,punct,VERB,basque,0,5
442,5,ADJ,name,NOUN,basque,6,0
443,1,AUX,parataxis,VERB,basque,0,9
444,338,PUNCT,punct,SCONJ,basque,621,1002
445,3,NUM,nummod,SYM,basque,4,0
446,1,VERB,nsubj,ADV,basque,1,0
447,25,VERB,appos,NOUN,basque,0,196
448,1,ADV,conj,PROPN,basque,0,2
449,1,NUM,acl,ADJ,basque,3,0
450,1,VERB,xcomp,ADV,basque,1,0
451,5,ADV,nmod,PROPN,basque,5,0
452,1,NOUN,conj,X,basque,0,6
453,10,NUM,xcomp,VERB,basque,9,2
454,3,X,discourse,VERB,basque,0,13
455,1,PROPN,parataxis,VERB,basque,0,3
456,1,INTJ,root,ROOT,basque,0,1
457,2,AUX,cop,ADJ,basque,1,1
458,58,ADJ,ccomp,VERB,basque,123,118
459,1,ADV,name,ADJ,basque,1,0
460,25,DET,nsubj,ADJ,basque,37,15
461,3,NUM,nmod,ADJ,basque,4,0
462,2,INTJ,advmod,VERB,basque,5,0
463,13,PRON,nsubj,SCONJ,basque,21,1
464,1,VERB,cc,VERB,basque,0,2
465,16,PUNCT,punct,AUX,basque,12,109
466,11,VERB,conj,CONJ,basque,4,43
467,4,SCONJ,acl,ADJ,basque,6,0
468,2,PROPN,conj,VERB,basque,0,12
469,363,PROPN,name,PROPN,basque,417,0
470,13,DET,advmod,VERB,basque,115,0
471,431,PROPN,nmod,VERB,basque,700,422
472,24,NOUN,nmod,PROPN,basque,19,12
473,172,ADJ,nmod,NOUN,basque,45,133
474,2,DET,nsubj,PUNCT,basque,0,2
475,2,NUM,dobj,CONJ,basque,0,3
476,11,SCONJ,cop,DET,basque,0,11
477,8,CONJ,cc,DET,basque,0,8
478,1,VERB,advmod,VERB,basque,3,0
479,21,ADJ,compound,VERB,basque,21,0
480,15,ADJ,nsubj,SCONJ,basque,34,0
481,7,ADJ,conj,SCONJ,basque,0,33
482,5,ADV,xcomp,VERB,basque,5,7
483,1,NOUN,acl,ADJ,basque,0,10
484,172,SCONJ,xcomp,VERB,basque,173,221
485,201,CONJ,cc,PROPN,basque,0,474
486,1,PART,nsubj,NOUN,basque,0,4
487,1,VERB,det,NOUN,basque,0,1
488,8,NUM,det,SYM,basque,8,0
489,1,PROPN,iobj,NOUN,basque,3,0
490,9,VERB,conj,PUNCT,basque,0,35
491,1,NUM,conj,DET,basque,0,2
492,8,NOUN,nsubj,NUM,basque,32,0
493,11,SCONJ,cop,ADV,basque,3,9
494,1,PUNCT,punct,INTJ,basque,0,2
495,2,SCONJ,advcl,X,basque,1,3
496,666,NOUN,dobj,SCONJ,basque,1156,37
497,10,NOUN,mark,VERB,basque,0,19
498,10,NOUN,xcomp,SCONJ,basque,20,3
499,1,VERB,xcomp,CONJ,basque,0,3
500,3,SYM,appos,PROPN,basque,0,9
501,1,INTJ,mark,VERB,basque,2,0
502,44,SCONJ,conj,VERB,basque,0,253
503,2012,NOUN,nsubj,VERB,basque,4936,1134
504,160,DET,nsubj,VERB,basque,317,41
505,1087,SCONJ,aux,VERB,basque,167,1077
506,4,ADJ,csubj,VERB,basque,12,5
507,3,SCONJ,cop,NUM,basque,0,9
508,1,CONJ,punct,SCONJ,basque,0,6
509,1,VERB,advcl,PUNCT,basque,0,1
510,2,ADJ,advcl,SCONJ,basque,7,0
511,1,SCONJ,csubj,INTJ,basque,0,1
512,1,NOUN,ccomp,NOUN,basque,5,0
513,1,SCONJ,csubj,AUX,basque,0,6
514,8,NUM,appos,PROPN,basque,0,20
515,424,NOUN,nmod,SCONJ,basque,849,74
516,3,ADJ,advcl,NOUN,basque,13,0
517,7,NOUN,advcl,NOUN,basque,15,0
518,1,ADJ,nsubj,PUNCT,basque,0,2
519,13,PART,neg,CONJ,basque,3,16
520,2,NOUN,xcomp,NOUN,basque,7,0
521,194,NOUN,nsubj,NOUN,basque,634,120
522,1,ADV,acl,PROPN,basque,0,3
523,26,ADV,root,ROOT,basque,0,110
524,178,PRON,nmod,NOUN,basque,183,12
525,2,NOUN,csubj,ADV,basque,4,4
526,528,NOUN,conj,NOUN,basque,0,1898
527,1774,ADJ,amod,NOUN,basque,315,1545
528,168,SCONJ,ccomp,VERB,basque,143,375
529,1,PROPN,iobj,AUX,basque,0,1
530,2,VERB,advcl,NUM,basque,3,0
531,1,SCONJ,ccomp,NOUN,basque,2,0
532,1,ADJ,iobj,SCONJ,basque,2,0
533,36,PRON,dobj,VERB,basque,35,17
534,1,VERB,dobj,X,basque,2,0
535,2,X,aux,VERB,basque,0,2
536,1,DET,nsubj,PRON,basque,3,0
537,2,PART,cc,SCONJ,basque,1,2
538,446,NOUN,root,ROOT,basque,0,2317
539,6,PROPN,dobj,NOUN,basque,10,4
540,2,PROPN,conj,ADJ,basque,0,7
541,1,PROPN,csubj,VERB,basque,0,3
542,4,ADJ,nsubj,CONJ,basque,0,9
543,3,VERB,ccomp,NOUN,basque,4,5
544,5,PROPN,nsubj,X,basque,5,0
545,1,PRON,conj,NOUN,basque,0,2
546,67,SCONJ,advcl,SCONJ,basque,101,79
547,2,ADV,advcl,NOUN,basque,1,1
548,5,SYM,nmod,NOUN,basque,5,0
549,1,X,name,NOUN,basque,1,0
550,4,PRON,iobj,SCONJ,basque,8,0
551,76,NOUN,xcomp,VERB,basque,128,35
552,99,VERB,cop,VERB,basque,61,128
553,1,SCONJ,appos,NOUN,basque,0,2
554,1,ADV,conj,NUM,basque,0,2
555,4,SCONJ,acl,PROPN,basque,4,0
556,3,VERB,nsubj,PROPN,basque,2,15
557,28,VERB,cop,DET,basque,6,26
558,2,PROPN,nsubj,AUX,basque,7,1
559,1,PRON,nsubj,DET,basque,1,0
560,3,ADV,discourse,VERB,basque,5,2
561,3,NOUN,dobj,ADV,basque,3,0
562,1,X,advmod,ADJ,basque,2,0
563,1,NUM,csubj,NOUN,basque,9,0
564,1,PRON,nsubj,CONJ,basque,3,0
565,3,NOUN,name,X,basque,6,0
566,2,SCONJ,csubj,DET,basque,4,0
567,55,PROPN,nsubj,SCONJ,basque,214,3
568,2,X,ccomp,VERB,basque,0,9
569,14,DET,nmod,SCONJ,basque,38,3
570,2,NOUN,conj,DET,basque,0,9
571,1,NOUN,dobj,PROPN,basque,1,0
572,3,ADV,nsubj,VERB,basque,9,0
573,3,NUM,nsubj,CONJ,basque,0,4
574,1086,PUNCT,punct,NOUN,basque,810,4336
575,9,VERB,advcl,ADJ,basque,14,0
576,2,NOUN,acl,PROPN,basque,0,5
577,785,SCONJ,advcl,VERB,basque,1376,1889
578,9,NOUN,dobj,ADJ,basque,23,4
579,5,DET,conj,NUM,basque,0,14
580,1,SYM,parataxis,VERB,basque,0,4
581,1,NUM,det,VERB,basque,0,1
582,15,NOUN,appos,PROPN,basque,8,54
583,5,DET,nsubj,ADV,basque,5,0
